pf,N,m,T,sigma,cut,U_F-CS,U_RDF_CS,U_F-kolafa,U_F-thol,U_F-mecke,U_F-gottschalk,U_F-hess,U_RDF_LJ
2.500e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.568e-02,1.568e-02,-3.809e-01,-3.867e-01,-3.842e-01,-3.838e-01,-3.853e-01,-3.853e-01
5.000e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,3.346e-02,3.346e-02,-7.547e-01,-7.658e-01,-7.566e-01,-7.637e-01,-7.705e-01,-7.705e-01
7.500e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,5.366e-02,5.366e-02,-1.116e+00,-1.135e+00,-1.111e+00,-1.138e+00,-1.156e+00,-1.156e+00
1.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,7.665e-02,7.665e-02,-1.465e+00,-1.497e+00,-1.448e+00,-1.505e+00,-1.541e+00,-1.541e+00
1.500e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.328e-01,1.328e-01,-2.127e+00,-2.401e+00,-2.098e+00,-2.212e+00,-2.311e+00,-2.311e+00
2.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,2.065e-01,2.065e-01,-2.763e+00,-2.769e+00,-2.745e+00,-2.884e+00,-3.081e+00,-3.081e+00
2.500e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,3.044e-01,3.044e-01,-3.394e+00,-3.291e+00,-3.402e+00,-3.530e+00,-3.850e+00,-3.850e+00
3.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,4.360e-01,4.360e-01,-4.023e+00,-3.895e+00,-4.066e+00,-4.186e+00,-4.619e+00,-4.619e+00
3.500e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,6.159e-01,6.159e-01,-4.624e+00,-4.519e+00,-4.718e+00,-4.911e+00,-5.388e+00,-5.388e+00
4.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,8.668e-01,8.668e-01,-5.137e+00,-5.110e+00,-5.307e+00,-5.803e+00,-6.156e+00,-6.156e+00
4.500e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.225e+00,1.225e+00,-5.480e+00,-5.597e+00,-5.776e+00,-6.999e+00,-6.924e+00,-6.924e+00
5.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.749e+00,1.749e+00,-5.562e+00,-5.904e+00,-6.057e+00,-8.686e+00,-7.691e+00,-7.691e+00
2.500e-02,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.705e-02,1.705e-02,-3.678e-01,-3.729e-01,-3.705e-01,-3.701e-01,-3.727e-01,-3.727e-01
5.000e-02,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,3.637e-02,3.637e-02,-7.283e-01,-7.362e-01,-7.293e-01,-7.335e-01,-7.453e-01,-7.453e-01
7.500e-02,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,5.829e-02,5.829e-02,-1.077e+00,-1.087e+00,-1.072e+00,-1.088e+00,-1.118e+00,-1.118e+00
1.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,8.320e-02,8.320e-02,-1.414e+00,-1.426e+00,-1.401e+00,-1.430e+00,-1.490e+00,-1.490e+00
1.500e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.440e-01,1.440e-01,-2.055e+00,-2.060e+00,-2.037e+00,-2.066e+00,-2.235e+00,-2.235e+00
2.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,2.235e-01,2.235e-01,-2.675e+00,-2.653e+00,-2.672e+00,-2.616e+00,-2.980e+00,-2.980e+00
2.500e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,3.288e-01,3.288e-01,-3.294e+00,-3.241e+00,-3.319e+00,-3.053e+00,-3.724e+00,-3.724e+00
3.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,4.699e-01,4.699e-01,-3.918e+00,-3.849e+00,-3.971e+00,-3.351e+00,-4.467e+00,-4.467e+00
3.500e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,6.623e-01,6.623e-01,-4.524e+00,-4.465e+00,-4.607e+00,-3.487e+00,-5.210e+00,-5.210e+00
4.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,9.293e-01,9.293e-01,-5.063e+00,-5.038e+00,-5.177e+00,-3.443e+00,-5.953e+00,-5.953e+00
4.500e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.308e+00,1.308e+00,-5.459e+00,-5.502e+00,-5.626e+00,-3.208e+00,-6.695e+00,-6.695e+00
5.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.861e+00,1.861e+00,-5.634e+00,-5.782e+00,-5.885e+00,-2.780e+00,-7.436e+00,-7.436e+00
2.500e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.843e-02,1.843e-02,-3.567e-01,-3.616e-01,-3.592e-01,-3.589e-01,-3.621e-01,-3.621e-01
5.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,3.928e-02,3.928e-02,-7.064e-01,-7.132e-01,-7.071e-01,-7.101e-01,-7.240e-01,-7.240e-01
